frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_z,three_x
56,1,187.76,209.35,246.06,294.81,0.764,0,216.91,294.81,-4.0731,3.4114
56,2,245.32,219.09,314.94,320.46,0.669,0,280.13,320.46,-3.8620,4.4121
56,4,732.99,121.68,755.25,173.88,0.554,0,744.12,173.88,5.3994,7.1259
57,1,187.81,209.34,246.12,294.88,0.765,0,216.97,294.88,-4.0733,3.4132
57,2,245.32,219.08,314.99,320.46,0.667,0,280.15,320.46,-3.8619,4.4123
57,4,732.83,121.58,755.59,174.69,0.497,0,744.21,174.69,5.3299,7.1401
58,1,187.84,209.34,246.15,294.89,0.766,0,216.99,294.89,-4.0732,3.4137
58,2,245.43,219.09,315.15,320.43,0.669,0,280.29,320.43,-3.8607,4.4129
58,4,731.96,121.69,755.73,177.13,0.443,0,743.85,177.13,5.1167,7.1707
59,1,187.86,209.34,246.15,294.91,0.766,0,217.00,294.91,-4.0732,3.4141
59,2,245.28,218.90,315.57,320.89,0.688,0,280.43,320.89,-3.8637,4.4216
59,4,732.17,121.63,756.10,177.37,0.420,0,744.13,177.37,5.1012,7.1792
60,1,187.88,209.34,246.16,294.92,0.766,0,217.02,294.92,-4.0732,3.4146
60,2,245.11,218.81,315.67,321.07,0.687,0,280.39,321.07,-3.8655,4.4242
60,4,732.19,121.62,756.23,177.60,0.410,0,744.21,177.60,5.0831,7.1840
61,1,187.88,209.34,246.15,294.92,0.764,0,217.01,294.92,-4.0733,3.4146
61,2,244.83,218.94,314.96,320.74,0.666,0,279.89,320.74,-3.8659,4.4149
61,4,732.21,121.66,756.31,177.76,0.402,0,744.26,177.76,5.0708,7.1872
62,1,187.88,209.34,246.14,294.95,0.763,0,217.01,294.95,-4.0735,3.4151
62,2,244.69,219.00,314.61,320.64,0.665,0,279.65,320.64,-3.8666,4.4113
62,4,732.28,121.74,756.34,177.70,0.396,0,744.31,177.70,5.0766,7.1871
63,1,187.89,209.35,246.13,294.94,0.764,0,217.01,294.94,-4.0735,3.4150
63,2,244.70,219.02,314.48,320.59,0.666,0,279.59,320.59,-3.8665,4.4100
63,4,732.23,121.85,756.48,178.25,0.379,0,744.36,178.25,5.0316,7.1960
64,1,187.89,209.34,246.11,294.93,0.764,0,217.00,294.93,-4.0735,3.4147
64,2,244.76,219.03,314.44,320.56,0.665,0,279.60,320.56,-3.8662,4.4096
64,4,732.31,121.86,756.55,178.23,0.391,0,744.43,178.23,5.0343,7.1970
65,1,187.88,209.35,246.02,294.85,0.768,0,216.95,294.85,-4.0731,3.4125
65,2,245.04,219.06,314.66,320.46,0.664,0,279.85,320.46,-3.8638,4.4099
65,4,732.28,121.88,756.29,177.72,0.370,0,744.28,177.72,5.0745,7.1869
