frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
1919,101,867,522,970,693,0.8956530690193176,0,918,693,-2.668264389038086,5.404873847961426,WALKWAY_1,1.6601941747572815
1919,69,729,495,836,719,0.8180487155914307,0,782,719,-1.507675051689148,5.8697509765625,WALKWAY_1,2.0934579439252334
1919,62,650,635,814,1128,0.9065968990325928,0,732,1128,-4.8707194328308105,7.507963180541992,WALKWAY_14,3.0060975609756095
1919,105,491,414,535,521,0.5122653841972351,0,513,521,7.85202169418335,3.963808298110962,WALKWAY_26,2.4318181818181817
1919,108,1582,322,1706,525,0.5057754516601562,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6370967741935485
1919,103,252,657,423,1008,0.6372187733650208,0,337,1008,-1.2859548330307007,8.563264846801758,WALKWAY_9,2.0526315789473686
1920,7,1460,310,1568,508,0.8813083171844482,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1920,79,639,442,710,550,0.710340678691864,0,674,550,2.716463804244995,4.204249858856201,WALKWAY_25,1.5211267605633803
1920,101,867,523,970,693,0.8854259848594666,0,918,693,-2.674121618270874,5.406379699707031,WALKWAY_1,1.6504854368932038
1920,69,728,494,838,722,0.8121997117996216,0,783,722,-1.6381587982177734,5.891806125640869,WALKWAY_1,2.0727272727272728
1920,62,647,634,812,1129,0.8988613486289978,0,729,1129,-4.867258548736572,7.514626502990723,WALKWAY_14,3.0
1920,108,1583,322,1706,525,0.5167544484138489,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6504065040650406
1920,103,249,658,420,1009,0.6892780065536499,0,334,1009,-1.2927255630493164,8.570362091064453,WALKWAY_9,2.0526315789473686
1921,7,1460,310,1568,508,0.8830854296684265,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1921,79,639,442,710,551,0.7264581918716431,0,674,551,2.6693344116210938,4.221993446350098,WALKWAY_25,1.5352112676056338
1921,101,867,523,969,693,0.8797447085380554,0,918,693,-2.664356231689453,5.403869152069092,WALKWAY_1,1.6666666666666667
1921,69,728,494,839,723,0.8105898499488831,0,783,723,-1.6786569356918335,5.900378227233887,WALKWAY_1,2.063063063063063
1921,62,643,633,809,1128,0.8916995525360107,0,726,1128,-4.839306831359863,7.5182600021362305,WALKWAY_14,2.9819277108433737
1921,108,1583,322,1706,525,0.5139382481575012,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6504065040650406
1921,103,247,657,418,1009,0.6470404267311096,0,332,1009,-1.2900663614273071,8.57497501373291,WALKWAY_9,2.0584795321637426
1922,7,1460,310,1568,508,0.8827309608459473,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1922,79,639,442,710,550,0.7128791213035583,0,674,550,2.716463804244995,4.204249858856201,WALKWAY_25,1.5211267605633803
1922,101,867,523,969,693,0.8760457038879395,0,918,693,-2.664356231689453,5.403869152069092,WALKWAY_1,1.6666666666666667
1922,69,729,494,838,721,0.8030446171760559,0,783,721,-1.597338318824768,5.8831658363342285,WALKWAY_1,2.0825688073394497
1922,62,639,632,807,1129,0.8667709827423096,0,723,1129,-4.835747718811035,7.5249857902526855,WALKWAY_14,2.9583333333333335
1922,108,1583,322,1706,525,0.5434572696685791,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6504065040650406
1922,103,246,657,417,1009,0.7432664632797241,0,331,1009,-1.288741111755371,8.577275276184082,WALKWAY_9,2.0584795321637426
1923,7,1460,310,1568,509,0.8840075731277466,0,1514,509,-2.511122226715088,1.8605453968048096,WALKWAY_28,1.8425925925925926
1923,79,639,442,710,550,0.7468191981315613,0,674,550,2.716463804244995,4.204249858856201,WALKWAY_25,1.5211267605633803
1923,101,867,523,969,693,0.8746082186698914,0,918,693,-2.664356231689453,5.403869152069092,WALKWAY_1,1.6666666666666667
1923,69,728,494,839,722,0.8116014003753662,0,783,722,-1.6508557796478271,5.894493579864502,WALKWAY_1,2.054054054054054
1923,62,636,631,806,1129,0.8831070065498352,0,721,1129,-4.825166702270508,7.528464317321777,WALKWAY_14,2.929411764705882
1923,108,1583,323,1706,525,0.5305303335189819,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6422764227642277
1923,103,245,656,416,1008,0.7146414518356323,0,330,1008,-1.2767082452774048,8.579450607299805,WALKWAY_9,2.0584795321637426
1924,7,1460,310,1568,508,0.8857496380805969,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1924,79,637,442,709,551,0.7292256951332092,0,673,551,2.686708927154541,4.222308158874512,WALKWAY_25,1.5138888888888888
1924,101,866,523,969,693,0.889521062374115,0,917,693,-2.6622655391693115,5.408600807189941,WALKWAY_1,1.6504854368932038
1924,69,728,494,840,723,0.7904273867607117,0,784,723,-1.7043251991271973,5.900312423706055,WALKWAY_1,2.044642857142857
1924,62,635,631,807,1129,0.8905622363090515,0,721,1129,-4.825166702270508,7.528464317321777,WALKWAY_14,2.895348837209302
1924,108,1582,323,1705,525,0.5573534369468689,0,1643,525,-3.091674327850342,1.381488561630249,WALKWAY_28,1.6422764227642277
1924,103,243,655,415,1012,0.5996142625808716,0,329,1012,-1.3180499076843262,8.58220386505127,WALKWAY_9,2.0755813953488373
1924,102,753,393,789,469,0.5510258674621582,0,771,469,4.541484832763672,1.741733193397522,WALKWAY_29,2.111111111111111
1925,7,1460,310,1568,509,0.8899655342102051,0,1514,509,-2.511122226715088,1.8605453968048096,WALKWAY_28,1.8425925925925926
1925,79,636,442,708,551,0.7196115255355835,0,672,551,2.7041690349578857,4.222625255584717,WALKWAY_25,1.5138888888888888
1925,101,866,523,969,693,0.8991879224777222,0,917,693,-2.6622655391693115,5.408600807189941,WALKWAY_1,1.6504854368932038
1925,69,728,493,840,724,0.7976430654525757,0,784,724,-1.7259963750839233,5.904906749725342,WALKWAY_1,2.0625
1925,62,634,633,806,1129,0.8966591954231262,0,720,1129,-4.81986141204834,7.530208587646484,WALKWAY_14,2.883720930232558
1925,108,1582,323,1705,525,0.5538312196731567,0,1643,525,-3.091674327850342,1.381488561630249,WALKWAY_28,1.6422764227642277
1925,103,238,654,409,1011,0.7139431834220886,0,323,1011,-1.2994481325149536,8.595688819885254,WALKWAY_9,2.087719298245614
1925,102,754,393,790,469,0.5207379460334778,0,772,469,4.521722316741943,1.7408344745635986,WALKWAY_29,2.111111111111111
1926,7,1460,310,1568,508,0.8921770453453064,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1926,79,635,442,708,552,0.7293569445610046,0,671,552,2.6746437549591064,4.240466117858887,WALKWAY_25,1.5068493150684932
1926,101,866,523,969,693,0.8964194655418396,0,917,693,-2.6622655391693115,5.408600807189941,WALKWAY_1,1.6504854368932038
1926,69,728,493,840,724,0.8044909834861755,0,784,724,-1.7259963750839233,5.904906749725342,WALKWAY_1,2.0625
1926,62,632,634,806,1129,0.889953076839447,0,719,1129,-4.81454610824585,7.531955718994141,WALKWAY_14,2.8448275862068964
1926,108,1582,323,1705,525,0.5596765875816345,0,1643,525,-3.091674327850342,1.381488561630249,WALKWAY_28,1.6422764227642277
1926,103,235,652,404,1011,0.7970498204231262,0,319,1011,-1.2941871881484985,8.604659080505371,WALKWAY_9,2.1242603550295858
1926,102,754,393,790,469,0.5578694939613342,0,772,469,4.521722316741943,1.7408344745635986,WALKWAY_29,2.111111111111111
1927,7,1460,310,1567,508,0.8918671607971191,0,1513,508,-2.5007317066192627,1.8635737895965576,WALKWAY_28,1.8504672897196262
1927,79,634,442,708,552,0.745665967464447,0,671,552,2.6746437549591064,4.240466117858887,WALKWAY_25,1.4864864864864864
1927,101,867,523,969,693,0.897665798664093,0,918,693,-2.664356231689453,5.403869152069092,WALKWAY_1,1.6666666666666667
1927,69,728,493,840,724,0.8044046759605408,0,784,724,-1.7259963750839233,5.904906749725342,WALKWAY_1,2.0625
1927,62,631,633,807,1130,0.9118425846099854,0,719,1130,-4.826868534088135,7.533493995666504,WALKWAY_14,2.8238636363636362
1927,108,1582,322,1705,525,0.5619593858718872,0,1643,525,-3.091674327850342,1.381488561630249,WALKWAY_28,1.6504065040650406
1927,103,234,654,400,1012,0.8144059181213379,0,317,1012,-1.30208158493042,8.609197616577148,WALKWAY_9,2.1566265060240966
1927,102,754,393,790,469,0.5691675543785095,0,772,469,4.521722316741943,1.7408344745635986,WALKWAY_29,2.111111111111111
1927,105,484,418,525,518,0.5186622142791748,0,504,518,8.247373580932617,3.9311118125915527,WALKWAY_26,2.4390243902439024
1928,7,1460,310,1567,508,0.8914592862129211,0,1513,508,-2.5007317066192627,1.8635737895965576,WALKWAY_28,1.8504672897196262
1928,79,633,442,708,552,0.7422342300415039,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4666666666666666
