frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
2067,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2067,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2067,162,508,717,697,1162,nan,0,602,1162,-4.574904441833496,7.8156938552856445,WALKWAY_14,17
2068,118,632,443,714,549,0.6678874492645264,0,673,549,2.7824740409851074,4.186389446258545,WALKWAY_25,17
2068,139,875,520,971,690,0.851834237575531,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2068,87,732,497,842,721,0.849769115447998,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2068,161,1433,313,1506,479,0.7689663767814636,0,1469,479,-2.1091525554656982,1.6278125047683716,WALKWAY_27,17
2068,158,466,422,507,525,0.575757622718811,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2068,162,503,711,694,1158,0.9006109237670898,0,598,1158,-4.497589588165283,7.739688873291016,WALKWAY_8,17
2068,141,541,728,696,1166,nan,0,618,1166,-4.725802421569824,7.786962509155273,WALKWAY_14,17
2068,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2068,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2069,118,632,444,713,549,0.6310105323791504,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2069,139,876,520,972,690,0.8542429804801941,0,924,690,-3.0733509063720703,5.620160102844238,WALKWAY_1,17
2069,87,732,497,842,721,0.8419504165649414,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2069,161,1432,312,1506,479,0.753368079662323,0,1469,479,-2.1091525554656982,1.6278125047683716,WALKWAY_27,17
2069,158,466,422,507,526,0.6023325324058533,0,486,526,8.1278076171875,4.109264373779297,WALKWAY_26,17
2069,163,744,405,782,470,0.6216510534286499,0,763,470,4.65730094909668,1.7587463855743408,WALKWAY_29,17
2069,162,498,701,694,1158,0.8974964618682861,0,596,1158,-4.491758346557617,7.742501258850098,WALKWAY_8,17
2069,141,541,728,696,1166,nan,0,618,1166,-4.725802421569824,7.786962509155273,WALKWAY_14,17
2069,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2069,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2070,118,632,443,713,549,0.6295565962791443,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2070,139,873,523,969,691,0.8551786541938782,0,921,691,-3.070817232131958,5.634296894073486,WALKWAY_1,17
2070,87,732,497,842,721,0.8433032631874084,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2070,161,1433,312,1506,478,0.730762243270874,0,1469,478,-2.0983822345733643,1.622099757194519,WALKWAY_27,17
2070,158,466,422,507,525,0.5736078023910522,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2070,163,744,403,783,470,0.6966248750686646,0,763,470,4.65730094909668,1.7587463855743408,WALKWAY_29,17
2070,162,495,692,695,1158,0.9001107215881348,0,595,1158,-4.4888410568237305,7.743908405303955,WALKWAY_8,17
2070,141,541,728,696,1166,nan,0,618,1166,-4.725802421569824,7.786962509155273,WALKWAY_14,17
2070,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2071,118,631,443,713,549,0.6325511336326599,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2071,139,875,521,971,690,0.8542554974555969,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2071,87,732,497,841,721,0.8416601419448853,0,786,721,-2.78969669342041,6.169943332672119,WALKWAY_1,17
2071,161,1436,312,1510,477,0.7183974981307983,0,1473,477,-2.1044270992279053,1.6147443056106567,WALKWAY_27,17
2071,158,466,422,507,525,0.5849518775939941,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2071,163,745,402,784,470,0.7114925980567932,0,764,470,4.637475490570068,1.7578374147415161,WALKWAY_29,17
2071,162,491,685,694,1157,0.9154444932937622,0,592,1157,-4.473616600036621,7.746816635131836,WALKWAY_8,17
2071,141,541,728,696,1166,nan,0,618,1166,-4.725802421569824,7.786962509155273,WALKWAY_14,17
2072,118,631,442,712,549,0.6545751094818115,0,671,549,2.818652868270874,4.186856746673584,WALKWAY_25,17
2072,139,873,523,969,691,0.860343873500824,0,921,691,-3.070817232131958,5.634296894073486,WALKWAY_1,17
2072,87,733,497,842,721,0.8574053049087524,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2072,161,1435,313,1507,475,0.6852441430091858,0,1471,475,-2.074244976043701,1.6039806604385376,WALKWAY_27,17
2072,158,465,421,506,525,0.5758945345878601,0,485,525,8.214953422546387,4.094227313995361,WALKWAY_26,17
2072,163,746,401,785,469,0.5158476233482361,0,765,469,4.660592079162598,1.7471493482589722,WALKWAY_29,17
2072,141,532,692,700,1166,0.8987218737602234,0,616,1166,-4.713982105255127,7.791305065155029,WALKWAY_14,17
2072,162,491,685,694,1157,nan,0,592,1157,-4.473616600036621,7.746816635131836,WALKWAY_8,17
2073,118,630,442,712,549,0.6320871710777283,0,671,549,2.818652868270874,4.186856746673584,WALKWAY_25,17
2073,139,875,521,971,690,0.8575918078422546,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2073,87,733,497,842,721,0.8632503151893616,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2073,161,1436,314,1508,476,0.7035039663314819,0,1472,476,-2.0893869400024414,1.6093806028366089,WALKWAY_27,17
2073,158,464,421,505,526,0.6151977181434631,0,484,526,8.172239303588867,4.11365270614624,WALKWAY_26,17
2073,163,749,400,789,469,0.5235229134559631,0,769,469,4.581086158752441,1.743533968925476,WALKWAY_29,17
2073,141,532,688,700,1166,0.8881298899650574,0,616,1166,-4.713982105255127,7.791305065155029,WALKWAY_14,17
2073,162,491,685,694,1157,nan,0,592,1157,-4.473616600036621,7.746816635131836,WALKWAY_8,17
2074,118,629,443,711,550,0.6132243871688843,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2074,139,876,521,972,690,0.8599855899810791,0,924,690,-3.0733509063720703,5.620160102844238,WALKWAY_1,17
2074,87,733,497,842,721,0.867621660232544,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2074,161,1438,314,1511,476,0.7297621369361877,0,1474,476,-2.0978379249572754,1.6085823774337769,WALKWAY_27,17
2074,158,464,421,505,526,0.6574485301971436,0,484,526,8.172239303588867,4.11365270614624,WALKWAY_26,17
2074,163,750,399,791,469,0.6261849999427795,0,770,469,4.561273097991943,1.7426329851150513,WALKWAY_29,17
2074,141,531,685,699,1165,0.8925552368164062,0,615,1165,-4.694523334503174,7.791870594024658,WALKWAY_14,17
2074,162,491,685,694,1157,nan,0,592,1157,-4.473616600036621,7.746816635131836,WALKWAY_8,17
2075,118,628,443,711,550,0.6176832318305969,0,669,550,2.8056480884552,4.2056355476379395,WALKWAY_25,17
2075,139,876,520,972,690,0.8617331981658936,0,924,690,-3.0733509063720703,5.620160102844238,WALKWAY_1,17
2075,87,734,498,842,721,0.8587822914123535,0,788,721,-2.7990431785583496,6.164727210998535,WALKWAY_1,17
2075,161,1439,314,1514,477,0.732953667640686,0,1476,477,-2.1170222759246826,1.6135410070419312,WALKWAY_27,17
2075,158,464,421,504,526,0.6681758165359497,0,484,526,8.172239303588867,4.11365270614624,WALKWAY_26,17
2075,163,751,399,791,469,0.6572038531303406,0,771,469,4.541484832763672,1.741733193397522,WALKWAY_29,17
2075,162,495,679,701,1162,0.8976651430130005,0,598,1162,-4.55017614364624,7.824669361114502,WALKWAY_14,17
2075,141,531,685,699,1165,nan,0,615,1165,-4.694523334503174,7.791870594024658,WALKWAY_14,17
2076,118,629,443,711,551,0.6224620342254639,0,670,551,2.739346981048584,4.223263263702393,WALKWAY_25,17
2076,139,872,523,969,691,0.8632112145423889,0,920,691,-3.066354274749756,5.636593341827393,WALKWAY_1,17
2076,87,735,498,842,721,0.8620322346687317,0,788,721,-2.7990431785583496,6.164727210998535,WALKWAY_1,17
2076,161,1443,316,1520,478,0.7605610489845276,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2076,158,463,421,504,527,0.6640932559967041,0,483,527,8.129598617553711,4.133044719696045,WALKWAY_26,17
2076,163,751,399,792,469,0.6430093050003052,0,771,469,4.541484832763672,1.741733193397522,WALKWAY_29,17
2076,141,536,711,695,1163,0.869195282459259,0,615,1163,-4.6674394607543945,7.788641929626465,WALKWAY_14,17
2076,162,495,679,701,1162,nan,0,598,1162,-4.55017614364624,7.824669361114502,WALKWAY_14,17
2077,118,629,443,711,550,0.621212899684906,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2077,139,874,521,971,691,0.8630488514900208,0,922,691,-3.0752756595611572,5.632003307342529,WALKWAY_1,17
2077,87,735,498,842,720,0.8528055548667908,0,788,720,-2.7875189781188965,6.158322811126709,WALKWAY_1,17
2077,161,1445,316,1525,478,0.7764926552772522,0,1485,478,-2.165038824081421,1.6156589984893799,WALKWAY_27,17
2077,158,463,422,504,528,0.6618121266365051,0,483,528,8.064862251281738,4.15020751953125,WALKWAY_26,17
2077,163,752,399,792,469,0.6328911185264587,0,772,469,4.521722316741943,1.7408344745635986,WALKWAY_29,17
2077,141,537,714,695,1162,0.8618770837783813,0,616,1162,-4.659875392913818,7.784852504730225,WALKWAY_14,17
2077,162,495,679,701,1162,nan,0,598,1162,-4.55017614364624,7.824669361114502,WALKWAY_14,17
2078,118,629,443,711,550,0.6222796440124512,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2078,139,875,521,972,690,0.8655672669410706,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2078,87,736,498,843,720,0.8612507581710815,0,789,720,-2.7921996116638184,6.155717372894287,WALKWAY_1,17
2078,161,1445,317,1527,479,0.7639569044113159,0,1486,479,-2.1796188354492188,1.620927095413208,WALKWAY_27,17
2078,158,463,423,504,529,0.6704877614974976,0,483,529,8.000253677368164,4.167336463928223,WALKWAY_26,17
2078,163,753,399,793,469,0.6418253779411316,0,773,469,4.501984596252441,1.7399369478225708,WALKWAY_29,17
2078,141,535,704,695,1158,0.8593125343322754,0,615,1158,-4.599597454071045,7.780555725097656,WALKWAY_14,17
2078,162,495,679,701,1162,nan,0,598,1162,-4.55017614364624,7.824669361114502,WALKWAY_14,17
2079,118,629,442,711,550,0.6262698769569397,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2079,139,875,521,972,690,0.8644803762435913,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2079,87,737,498,843,720,0.8603725433349609,0,790,720,-2.796875238418579,6.1531147956848145,WALKWAY_1,17
